average_lead_times,average_process_times,closed_in_period,daily_burn_rate,days_in_period,issues_closed,lead_times,process_times,reference_date,running_closed,running_existing,running_open,total_issues,week
0.0,0.0,0,0.0,7,,,,2019-01-13,0,14,4,28,2019W02
4.0,3.7142857142857144,7,1.0,7, 16 15 13 14 1 6 2, 0.50 0.50 5.00 5.00 6.00 5.00 6.00, 0.50 0.50 5.00 5.00 5.00 5.00 5.00,2019-01-20,7,17,4,28,2019W03
22.0,22.0,2,0.2857142857142857,7, 10 3, 22.00 22.00, 22.00 22.00,2019-02-03,9,18,4,28,2019W05
0.0,0.0,0,0.0,7,,,,2019-02-10,9,21,9,28,2019W06
19.285714285714285,19.285714285714285,7,1.0,7, 19 20 9 12 4 26 23, 7.00 7.00 38.00 38.00 38.00 3.00 4.00, 7.00 7.00 38.00 38.00 38.00 3.00 4.00,2019-02-17,16,26,9,28,2019W07
9.333333333333334,9.333333333333334,3,0.42857142857142855,7, 22 27 28, 27.00 0.50 0.50, 27.00 0.50 0.50,2019-03-17,19,28,9,28,2019W11
